track_id,track_name,artist_id,artist_name,album_id,release_date,popularity,seed_decade,seed_query
58XWGx7KNNkKneHdprcprX,Rock You Like A Hurricane,27T030eWyCQRmDyuvr1kxY,Scorpions,71cfSO0iO1fjgQLEb3Wc6C,1984-03-27,,1980s,rock year:1980-1989
56KqaFSGTb7ifpt16t5Y1N,Rock the Casbah - Remastered,3RGLhK1IP9jnYFH4BRFJBS,The Clash,1ZH5g1RDq3GY1OvyD0w0s2,1982,,1980s,rock year:1980-1989
2AmEv442DGwSxMGZ9XEvBA,Rock Of Ages,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,3MJoDIkQxY0MTXE8fqzmPu,1983-01-20,,1980s,rock year:1980-1989
6J17MkMmuzBiIOjRH6MOBZ,Rock and Roll Ain't Noise Pollution,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,1980-07-25,,1980s,rock year:1980-1989
4Y7fEQ4PAzhlLnLviRw2P4,Rockin' in the Free World,6v8FB84lnmJs434UJf2Mrm,Neil Young,3uOOKcr91I3Br0Rtmu4zdT,1989,,1980s,rock year:1980-1989
0RVeadY2MbHz4Pe4MreLNw,Rocket,6H1RjVyNruCmrBEWRbD0VZ,Def Leppard,1ja2qzCrh6bZykcojbZs82,1987-08-03,,1980s,rock year:1980-1989
2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,555qwe1qUgLdee80TZ2CQt,1981-11-18,,1980s,rock year:1980-1989
2374M0fQpWi3dLnB54qaLX,Africa,0PFtn5NtBbbUNbU9EAmIWF,TOTO,62U7xIHcID94o20Of5ea4D,1982-04-08,,1980s,rock year:1980-1989
7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,28yHV3Gdg30AiB8h8em1eW,1987-07-21,,1980s,rock year:1980-1989
254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,4AsXQ17Arq1cUVoa9dKJ3F,1987-04-13,,1980s,rock year:1980-1989
47uCfpxZHga6d3eio3pSoz,Rock and Roll Girls,5ujCegv1BRbEPTCwQqFk6t,John Fogerty,7wLd9KZsIrtpcRCVOjq7v8,1985-01-14,,1980s,rock year:1980-1989
0xaNdYwK8ZF3cHSjraQGC0,Rocket Queen,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,28yHV3Gdg30AiB8h8em1eW,1987-07-21,,1980s,rock year:1980-1989
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,3myPwaMYjdwhtq0nFgeG6W,1985-02-25,,1980s,rock year:1980-1989
2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,1980-07-25,,1980s,rock year:1980-1989
4Yqy0GpeDEXLibWJCZyQew,Kickstart My Heart,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,4MDYr65P5RQb6VHt80T3o8,1989-09-02,,1980s,rock year:1980-1989
11IzgLRXV7Cgek3tEgGgjw,Under Pressure - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,0xc5IpJM39eEEYSKDrm5kf,1982-05-03,,1980s,rock year:1980-1989
6eN1f9KNmiWEhpE2RhQqB5,Paradise City,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,28yHV3Gdg30AiB8h8em1eW,1987-07-21,,1980s,rock year:1980-1989
7j74lucZ59vqN67Ipe2ZcY,Maneater,77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,7ygXmT175bKbOpiPjNwXOB,1982-10-04,,1980s,rock year:1980-1989
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,1980-07-25,,1980s,rock year:1980-1989
0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,28yHV3Gdg30AiB8h8em1eW,1987-07-21,,1980s,rock year:1980-1989
0DfG1ltJnZyq4Tx3ZLL7ZU,Rock Me Amadeus,0hLd40hVpRDGENe4KGZLnW,Falco,4shdkbv0jIstZhSrpMR9wh,1985-02-19,,1980s,rock year:1980-1989
0LAcM6I7ijW4VVW0aytl1t,One (Remastered),2ye2Wgw4gimLv2eAKyk1NB,Metallica,2XbWaerVk9fjhEiGSrd6TF,1988-09-07,,1980s,rock year:1980-1989
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,6wPXUmYJ9mOWrKlLzZ5cCa,1980-06-27,,1980s,rock year:1980-1989
54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),2ye2Wgw4gimLv2eAKyk1NB,Metallica,7CGhx630DIjdJqaBDVKc5j,1986-03-03,,1980s,rock year:1980-1989
4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams (Come True),77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,4LniALl9S6YedTFdiZWOMS,1980,,1980s,rock year:1980-1989
2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,26bcq2nyj5GB7uRr558iQg,Survivor,3t3BbpFJiGcXl4jI5CRLLA,1985,,1980s,rock year:1980-1989
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,58lV9VcRSjABbAbfWS6skp,Bon Jovi,0kBfgEilUFCMIQY5IOjG4t,1986-08-16,,1980s,rock year:1980-1989
51YZAJhOwIC5Gg3jMbAmhZ,For Whom The Bell Tolls (Remastered),2ye2Wgw4gimLv2eAKyk1NB,Metallica,2omIeSJEGQeKHPOpiXgfkr,1984-07-27,,1980s,rock year:1980-1989
19Ym5Sg0YyOCa6ao21bdoG,Gypsy,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,0LfM3PGkXE6KvJEE1HkOnz,1988-11-21,,1980s,rock year:1980-1989
0ee1DiZF94NSqqpG0XHUzH,Livin' On A Prayer,58lV9VcRSjABbAbfWS6skp,Bon Jovi,2PRGSft6sBpJewkx16FrJG,1986,,1980s,rock year:1980-1989
3J9NEWkd9Cx1MwSSvDySkL,Rock the Night,7Js6Lde8thlIHXggv2SCBz,Europe,5Jkd47JEaCU1g4DcGBnHm3,1986,,1980s,rock year:1980-1989
5Hk4Mpex0s2ndUpDQ5v2rU,Walk Of Life - Remastered 1996,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,6Pz06FAaeym0JSqVqIkN56,1985-05-13,,1980s,rock year:1980-1989
35ItUJlMtjOQW3SSiTCrrw,Crazy Little Thing Called Love - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,6wPXUmYJ9mOWrKlLzZ5cCa,1980-06-27,,1980s,rock year:1980-1989
4nFNJmjfgBF7jwv2oBC45b,Money For Nothing - Remastered 1996,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,6Pz06FAaeym0JSqVqIkN56,1985-05-13,,1980s,rock year:1980-1989
1xaTREM89RbIxkcjlpf4Uw,Heaven Knows I'm Miserable Now - 2011 Remaster,3yY2gUcIsjMr8hjo51PoJ8,The Smiths,1j57Q5ntVi7crpibb0h4sv,1984,,1980s,rock year:1980-1989
64ywvJE5j3PmRHzuah2WKR,I Wanna Rock,7b85ve82Sh36a3UAx74wut,Twisted Sister,7LEgf3IOaVyBExG9rdU2wl,1984-05-10,,1980s,rock year:1980-1989
0bRNszTbTFLNlunAeh7eom,Sharp Dressed Man (2008 Remaster),2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,4KW6YVbF8E3kexYcl0k4IK,1983-03-23,,1980s,rock year:1980-1989
2zFdsAIk9r2Mi7Lmm1w3sM,That's All - 2007 Remaster,3CkvROUTQ6nRi9yQOcsB50,Genesis,6BX8AS7J97PSQNrteX325Z,1983-10-03,,1980s,rock year:1980-1989
2TofEeQobQ9YoK7EFds698,You Give Love A Bad Name,58lV9VcRSjABbAbfWS6skp,Bon Jovi,2PRGSft6sBpJewkx16FrJG,1986,,1980s,rock year:1980-1989
76GlO5H5RT6g7y0gev86Nk,Just like Heaven,7bu3H8JO7d0UbMoVzbo70s,The Cure,37Q22g0n9PzBLX6lNddrIa,1987-05-25,,1980s,rock year:1980-1989
7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,2UZMlIwnkgAEDBsw1Rejkn,Tom Petty,5d71Imt5CIb7LpQwDMQ093,1989-01-01,,1980s,rock year:1980-1989
69QHm3pustz01CJRwdo20z,Hells Bells,711MCceyCBcFnzjGY4Q7Un,AC/DC,6mUdeDZCsExyJLMdAfDuwh,1980-07-25,,1980s,rock year:1980-1989
4TIJ7zSBNejpoIPaWpWRKc,Rebel Yell,7lzordPuZEXxwt9aoVZYmG,Billy Idol,2FZNWUmgRoP8uJZBaHJdfj,1983-11-01,,1980s,rock year:1980-1989
2SHTKB8YYlawTGIuJ2b2ok,About A Girl,6olE6TJLqED3rqDCT0FyPh,Nirvana,1KVGLuPtrMrLlyy4Je6df7,1989-06-01,,1980s,rock year:1980-1989
7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,6zvul52xwTWzilBZl6BUbT,Pixies,50j4Wm1b9hLpSpPIA39Vp9,1988-03-21,,1980s,rock year:1980-1989
